LVL,FLDNM,KNLESSONLANGNM,ESTB,SYLLABUS_DETAIL_URL,SBJTNM,DOWPD,LCTNM,ID
1,総合教育科目自然科学系列,日本語,文/人文,detail?ttblyr=2023&entno=76867&lang=jp,物理学Ⅰ（実験を含む）,"月1,2",下村 裕,76867
1,総合教育科目系列外語学以外,日本語,文/人文,detail?ttblyr=2023&entno=98936&lang=jp,心理学Ⅲ,月2,中野 泰志 他,98936
1,総合教育科目系列外教授会の認める,日本語,文/人文,detail?ttblyr=2023&entno=70596&lang=jp,科学技術と現代社会,月2,吉村 公雄 他,70596
1,総合教育科目系列外教授会の認める,日本語,文/人文,detail?ttblyr=2023&entno=76776&lang=jp,東アジア宗教文化概論Ⅰ,月2,井ノ口 哲也,76776
"2, 3, 4",専門教育科目,日本語,文/人文,detail?ttblyr=2023&entno=02676&lang=jp,音楽学Ⅰ,月2,井澤 岳野,02676
"2, 3, 4",専門教育科目,日本語,文/人文,detail?ttblyr=2023&entno=05489&lang=jp,言語学概論Ⅲ,月2,本間 猛,05489
"2, 3, 4",専門教育科目,日本語,文/人文,detail?ttblyr=2023&entno=94731&lang=jp,比較文学Ⅰ,月2,堀 啓子,94731
1,必修語学科目英語,日本語,文/人文,detail?ttblyr=2023&entno=65988&lang=jp,英語Ⅱ中級,月2,辻 秀雄,65988
1,必修語学科目英語,日本語,文/人文,detail?ttblyr=2023&entno=66009&lang=jp,英語Ⅱ中級,月2,高橋 三和子,66009
1,必修語学科目英語,日本語,文/人文,detail?ttblyr=2023&entno=68896&lang=jp,英語Ⅱ中級,月2,小泉 有加,68896
1,必修語学科目英語,日本語,文/人文,detail?ttblyr=2023&entno=66821&lang=jp,英語Ⅱ中級発展,月2,内田 大貴,66821
1,必修語学科目英語,英語,文/人文,detail?ttblyr=2023&entno=69892&lang=jp,英語Ⅱ最上級,月2,タイ， ワンチェン,69892
"2, 3, 4",必修語学科目英語,日本語,文/人文,detail?ttblyr=2023&entno=38422&lang=jp,英語Ⅳ中級（セ）,月2,吉川 正人,38422
"2, 3, 4",必修語学科目英語,日本語,文/人文,detail?ttblyr=2023&entno=99111&lang=jp,英語Ⅳ中級（セ）,月2,三馬 志伸,99111
"2, 3, 4",必修語学科目英語,英語,文/人文,detail?ttblyr=2023&entno=66091&lang=jp,英語Ⅳ中級発展（セ）,月2,ボーム， スティーヴン,66091
1,必修語学科目ドイツ語,日本語,文/人文,detail?ttblyr=2023&entno=64101&lang=jp,ドイツ語Ⅱ（Ｃ）,月2,シュミット， ウテ,64101
1,必修語学科目ドイツ語,日本語,文/人文,detail?ttblyr=2023&entno=66142&lang=jp,ドイツ語Ⅱ（Ｂ）,月2,大淵 知直,66142
1,必修語学科目ドイツ語,日本語,文/人文,detail?ttblyr=2023&entno=66578&lang=jp,ドイツ語Ⅱ（Ｃ）,月2,アインス， ヴィーラント,66578
1,必修語学科目フランス語,日本語,文/人文,detail?ttblyr=2023&entno=26247&lang=jp,フランス語Ⅱ（Ｂ）,月2,真部 清孝,26247
1,必修語学科目フランス語,日本語,文/人文,detail?ttblyr=2023&entno=68695&lang=jp,フランス語Ⅱ（Ｃ）,月2,ディオ， ロドルフ Ｃ．,68695
"2, 3, 4",必修語学科目フランス語,その他,文/人文,detail?ttblyr=2023&entno=04406&lang=jp,フランス語ⅣＢ（セ）,月2,ペリセロ， クリスティアン・アンドレ,04406
"2, 3, 4",必修語学科目フランス語,日本語,文/人文,detail?ttblyr=2023&entno=95742&lang=jp,フランス語ⅣＢ（セ）,月2,菅沼 潤,95742
1,必修語学科目中国語,日本語,文/人文,detail?ttblyr=2023&entno=66999&lang=jp,中国語Ⅱ（Ｂ）,月2,山下 紘嗣,66999
1,必修語学科目中国語,日本語,文/人文,detail?ttblyr=2023&entno=67392&lang=jp,中国語Ⅱ（Ｂ）,月2,植松 公彦,67392
"2, 3, 4",必修語学科目中国語,日本語,文/人文,detail?ttblyr=2023&entno=98536&lang=jp,中国語ⅣＢ（セ）,月2,袁 英明,98536
1,必修語学科目イタリア語,日本語,文/人文,detail?ttblyr=2023&entno=67153&lang=jp,イタリア語Ⅱ（Ａ）,月2,長谷川 悠里,67153
1,必修語学科目韓国語,日本語,文/人文,detail?ttblyr=2023&entno=82649&lang=jp,韓国語Ⅱ（Ｂ）,月2,李 泰文,82649
1,必修語学科目ロシア語,日本語,文/人文,detail?ttblyr=2023&entno=67847&lang=jp,ロシア語Ⅱ（Ａ）,月2,越野 剛,67847
1,総合教育科目人文科学系列,日本語,文/人文,detail?ttblyr=2023&entno=54453&lang=jp,音楽Ⅱ,月2,木内 麻理子,54453
